ACTION,CLIENT_NAME,ADMIN,SECTOR,COUNTRY
CREATE,SUNU ASSURANCES IARD,,Insurance,Cameroun
SKIP (EXISTS),SUNU ASSURANCES VIE,,Insurance,Cameroun
CREATE,CIMENCAM,,Insurance,Cameroun
CREATE,BATIMETAL,MFENJOU WILLIAM,Miscellaneous,Cameroun
CREATE,UBC,CHARLOTTE KOUECHEU,Miscellaneous,Cameroun
CREATE,Société D'Exploitation des Etablissements de Fombelle  (SEEF S.A.),Pierre MANCEL,FORESTIER,Cameroun
CREATE,BIA CAMEROUN,,Miscellaneous,Cameroun
CREATE,COLOR CERAMICA,,Other industry,Cameroun
SKIP (EXISTS),BLESSING PETROLEUM,,Energy and Oil & Gas,Cameroun
CREATE,GRAPHIC SYSTEM,,Miscellaneous,Cameroun
CREATE,BANGE,,Bank,Cameroun
CREATE,Krystal Palace,FOYOU,Hôtellerie,Cameroun
CREATE,LES BATISSEURS REUNIS,,Miscellaneous,Cameroun
CREATE,CAMEROON UNITED FOREST,,N/A,Cameroun
CREATE,ORANGE MONEY CAMEROUN SA,,Other Financial services,Cameroun
CREATE,GAZ DU CAMEROUN,,Miscellaneous,Cameroun
CREATE,BERNABE CAMEROUN,,Miscellaneous,Cameroun
CREATE,BESIX CAMEROUN,,Miscellaneous,Cameroun
CREATE,Tractafric motors SA,,Miscellaneous,Cameroun
CREATE,PRIMO SARL,,Miscellaneous,Cameroun
CREATE,Tropik Industries Cameroun,,Miscellaneous,Cameroun
CREATE,SOCIETE MODERNE DU PNEUMATIQUE CAMEROUNAIS SMPC,,Miscellaneous,Cameroun
CREATE,SEFECAM,,Miscellaneous,Cameroun
CREATE,BIOPHARMA,,Miscellaneous,Cameroun
CREATE,TELCAR COCOA LIMITED,,Miscellaneous,Cameroun
CREATE,NFC BANK,,Bank,Cameroun
CREATE,TRANSMISSION MANUTENTION DU CAMEROUN TMC,,Miscellaneous,Cameroun
CREATE,SOREPCO,,Miscellaneous,Cameroun
CREATE,SOCIETE D'EXPLOITATION DES PARCS A BOIS DU CAMEROUN SEPBC,,FORESTIER,Cameroun
CREATE,SPEED APPRO,,Miscellaneous,Cameroun
CREATE,AGROCHEM,,Miscellaneous,Cameroun
CREATE,FIRST TRUST SA,,Other Financial services,Cameroun
CREATE,LONG METAL SARL,,Miscellaneous,Cameroun
CREATE,AZUR,,Food and Drink,Cameroun
CREATE,IMS SARL,,Miscellaneous,Cameroun
CREATE,SOCATUR SA,,Miscellaneous,Cameroun
CREATE,BATIBOIS,,FORESTIER,Cameroun
CREATE,HAVEST ASSET MANAGEMENT SA,,Miscellaneous,Cameroun
SKIP (EXISTS),MAHIMA,,Miscellaneous,Cameroun
CREATE,AMS GROUP,,Miscellaneous,Cameroun
CREATE,WOOD SENSES,,Miscellaneous,Cameroun
CREATE,SEEF SA,,FORESTIER,Cameroun
CREATE,HYDRAC,,Miscellaneous,Cameroun
CREATE,COMMUNAUTE HURBAINE DE YAOUNDE,CUY,N/A,N/A
CREATE,COMMUNAUTE URBAINE DE KRIBI,,Government & public sector,Cameroun
CREATE,Port Autonome de Kribi,,Government & public sector,Cameroun
CREATE,COMPAGNIE NATIONALE DES CHARGEURS DU CAMEROUN,,Transport & leisure,Cameroun
CREATE,CHASLES CORPORATION,,Miscellaneous,Cameroun
CREATE,FLORE SERVICES SARL,,Miscellaneous,Cameroun
CREATE,AFRICA WORKS,,Miscellaneous,Cameroun
CREATE,CREATIVE SARL,,Miscellaneous,Cameroun
CREATE,WISDOM INTERNATIONAL,,Miscellaneous,Cameroun
CREATE,FONDS COMMUN PSFE,,Climate change/Water,Cameroun
CREATE,EDF CAMEROUN SA,,Energy and Oil & Gas,Cameroun
CREATE,MEDLOG CAMEROUN SA,,Transport & leisure,N/A
CREATE,SOLEIL CAMEROUN,,Miscellaneous,Cameroun
CREATE,SINCATEX SA,,Miscellaneous,Cameroun
CREATE,EMRALD SECURITIES SERVICES BOURSE SA,,Miscellaneous,Cameroun
CREATE,CAMBUILD BTP,,Miscellaneous,Cameroun
CREATE,METAFRIQUE STEEL,,Miscellaneous,Cameroun
CREATE,AGROCAM SA,Jean Daniel AYAMAPI,Other industry,Cameroun
CREATE,BANQUE ATLANTIQUE CAMEROUN,Habib Koné,Bank,Cameroun
CREATE,NSIA ASSURANCES CAMEROUN,Esther TIAKO,Insurance,Cameroun
